"Reviews","Reviews' Score","Sentiments"
" Worst travel experience life They lost bag local hour flight attitude give blamed check process Dont travel airline customer service frustrated individuals board directors absolutely negligent professionals I emails calls luggage response dont bag Its complete scam lie Do favour avoid airline costs",-4.75,"1) Very negative"
" Pegasus budget airline main objective transport people lowest cost They removing unnecessary services onboard meals No expects luxury treatment flying Pegasus The time I flew Pegasus experience awful During checkin I asked airline representative check carryon bag put luggage compartment cabin Usually airlines dont charge Sometimes flight full Pegasus told wasnt allowed I pay USD extra baggage allowance case check carryon I agreed Upon arrival final destination I discovered items stolen The total amount damage insignificant I reported incident airline refused compensate damage liability limited Pegasus accepts responsibility liability applicable liability limits accordance legal regulations",-3.25,"1) Very negative"
" We flying Amsterdam Istanbul June We connecting flight Pegasus Airlines Istanbul As reached gate Pegasus staff horrible I shocked treated passenger Very rude bad attitude shocked I cancelled week vacation back home I lost baggage havent baggage It worst trip I recommend airline Please avoid",-2.65,"1) Very negative"
" In short timing notifying delays time boarding time supposed fly hours ago delay happened And employee laughing asked boarding Worst experience",-1.45,"1) Very negative"
" I fly Pegasus work reasons primarily route Ankara Amman Jordan This night flight PC delayed hours If Pegasus unable fly time Sun change flight departure time And delayed warn passengers This absolutely unacceptable Yes OK Pegasus lowcoster behave ",-1.35,"1) Very negative"
" Never Tiny uncomfortable seats completely full flight forced gatecheck small carryon ticket supposed luggage allowance rest itinerary euros dry sandwich board Avoid costs",-1.35,"1) Very negative"
"  Our flight arrived airport hours flight They moved flight hours wait airport doesnt flights time food businesses closed Yes closed pm luckily food They moved connecting flight pm pm imagine arriving country midnight hotel reservation lost I missed reservation USD tour Clearly problem doesnt care ",0.95,"5) Very positive"
" The staff unhelpful irresponsible slow First flight Istanbul delayed times Then May I wanted fly back home arrived hours early flight delayed gates changed times In end I arrived gate minutes early staff anymore I board plane thing happened people destinations line I Pegasus informationhelp centers airport single pay flight blamed arriving earlier The announcement call started minutes I gate I ended supervisor rude direct hear properly ",-2.6,"1) Very negative"
" It bad experience Our flight delayed Muscat Istanbul flight Pegasus staff dont care running Pegasus staff Was bad day programs Saint Petersburg late hours mixed In end Pegasus staff told buy visa Pegasus office promised visa payment Pegasus refund Was choice stay hours airport pay visa Finally paid visa office Pegasus staff told paid visa Pegasus email refund What kind services wait hours airport Where customer care They pay money spend delay flight I travel refund ",1.75,"5) Very positive"
" We checked flight March fly Turkey Georgia There issues staff notify bags slightly limit Our flight cancelled After hours waiting checked time staff mentioned bags limit Once security pulled asked pay Lira bags slightly weight limit Naturally I refuse told Had staff told moved items luggage hand luggage avoided mess We told pay allowed flight It turned Lira Lira approx pounds Two employees checked luggage smile audacity inform slightly weight limit add insult injury suit cases broken refusing refund money ",-4.5,"1) Very negative"
" I company flights times troubles My flights delayed till hours unappreciated I transit Their customer service unavailable call country exclude native Turkey call dont answer cases They provide answer proposed site WhatsApp email noticed time hours time But answer absolutely inapplicable provide link website info website answer solid question Usage services waste money time mental health And onboard finally pay including glass water I extremely worst experience company",-3.1,"1) Very negative"
" Pegasus Airlines lost bag I filed report destination airport multiple mails calls care I applied refund offered ridiculous amount money After months I finally received half refund half missing Pegasus answer mails I fly airline offer cheapest prices",1.5,"5) Very positive"
" I booked flight back home Sunday work Monday After checkingin dropping bag I informed flight cancelled Which news hear There long line passengers move wanted fly day offer wont refuse However I meetings day simply cancelled It feels throwing person respect I find reservation close airport However cancelled trips north due weather reasons There refund My bag arrive months",0.1,"4) Positive"
" I Pegasus team Istanbul service hard work provide difficult time Turkey suffered earthquake The flight delayed hours I missed connecting flight Considering situation country bad weather conditions I suppose delays happen Pegasus provided ticket free hotel stay till flight food Thank ",-2.6,"1) Very negative"
" Pegasus Airlines worst nightmare Never choice Its impolite crew members dont greet customers board horrible sits tiny water bottles I flight SharmelSheikh St Petersburg Istanbul flight delayed missed flight stuck airport hours water food information flight There Pegasus counter transfer zone absolutely useless incompetent employees nonsense We ppl flights hours queuing Pegasus workers making mess documents losing boarding passes taking passports bringing back shouting customers Finally hours desperation figured lot passengers dont visa enter Turkey delivered hotel anytime Than hours bus pick additional mins standing C Istanbul dozens people flying back Egypt summer clothes expecting winter strolls snowy Istanbul The horrible flying experience entire life choose airline option fly Pegasus dont ruin mental health",-5.85,"1) Very negative"
" Worst airline I lost connection flight Istanbul Doha Manchester Wasted day information delay The day flight booked Istanbul Doha delayed hours I recommend Pegasus airlines unacceptable approach I lose days travel tension airport I missed flight I pay evisa stay country day flight No information emails airline",-4.7,"1) Very negative"
" It flight years flying I world changed hard include food drinks ticket price anymore As Russian citizens bank cards Russia due restrictions Europe So I carrying Euro cash I bought Moscow bank day trip How I supposed money Euros I wouldnt food drink onboard Seriously flight attendant euro bill returned I food water hours money But I huge amount frustration anxiety hours I plane money I problem cash flight And I curious I drink back What kind money accept planes Why dont serve free water passengers",1.9,"5) Very positive"
" Pegasus lost luggage couldnt find weeks offered ridiculous compensation Euros pay transfer fee bringing Euros Not compensate trouble caused luggage refund covers bag clothes They bring people point A point B dont responsibility ",-1.3,"1) Very negative"
" Shocking experience The worst uncomfortable crammed seats I water running sink lavatories surely concern covid The cabin crew arrived flight late flight Doha delayed missed connection flight Cabin crew unfriendly angry closed faces frown asked disturbing I cabin crew refusing give cup water pregnant lady flying hr flight euros connection flight No inflight entertainment offered crew wont dim lights overnight flight preventing passengers sleeping But traumatic experience caused biggest concern fact passengers started taking bags opening luggage compartments leaving open plane landed taxi The cabin crew turned blind eye sleeping seat Meanwhile bag ended falling open compartment passengers head seating aisle allowed whilst aircraft running taxi minutes",-8.2,"1) Very negative"
" My wife I tickets Pegasus Budapest Istanbul January flight PC In morning day departure received SMS cancellation flight due bad weather conditions Istanbul This reason releases liability indemnification passengers However weather forecast Istanbul airport day showed good weather That Pegasus airline brazenly deceived Our attempts change flight lead The contact phone Pegasus answer There representative office company Budapest airport All flights Istanbul companies day successfully completed As result bought expensive tickets Turkish Airlines flew Istanbul day Pegasus bear responsibility passengers",0.85,"5) Very positive"
" This worst experience life company travel years A trip half day transformed full days Travel waiting airport transfer Turkey queuing hours flight information company apologizing situation giving information They notion customer service human problem route I strongly advise avoid company unpleasant experience apparently frequent delays flights cancellations flights due purely financial reasons bad organisation Then miss transfer treatment demand long painful ",-2.35,"1) Very negative"
" Worst flight Ive abysmal start vacation I dont point budget airline absolutely humiliate treat passengers animals To start flight delayed unacceptable hours gate explanation clear delayed To top things plane told expect additional hour delay plane seated uncomfortable seats hour passed news delaying",-3.35,"1) Very negative"
" Pros Low cost Airline Normally hassle free Cons I booked flight Munich Dammam Istanbul paid check Baggage booking ticket online I told check bag booked till Dammam But strangely Istanbul Airport I asked checked bag hand bag I pay extra Evisa inside Turkey checked bag Despite inquiries Airline staff real reason explanation inconvenience",0.15,"4) Positive"
" I flight Casablanca Moscow stopover Istanbul After reading reviews I afraid I hrs security control Istanbul I afraid losing delays My big luggage I afraid pay weight I bough My hand luggage heavy slightly bigger company rules Also luggage checked Casablanca I afraid loose time put place I lane check started All fast easy They charge extra weight check hand luggage size weight I passengers bags allowed flights time staff crew kind helpful I fly Pegasus",0.15,"4) Positive"
" Awful staff great prices routes I fly airline direct flight London Ankara One staff grabbed pulled post check I check hand luggage full flight I told due laptop valuables The staff member began swearing telling hes waiting gate",-0.75,"1) Very negative"
" The worst airline I The staff rude doesnt speak doesnt English The cabin dirty None flights left time maximum delay hours compensated I seats recline extremely uncomfortable There onboard catering water reported booking tickets And airline broke suitcase ",-3.4,"1) Very negative"
" Today unfortunate fly Pegasus Airlines Our flight meant departure Helsinki And wasnt announced itll At itll Later itll And midnight theyve updated morning Its hours wait They update hours gave food voucher hotel sleep wake hour check changed Its outrageous The worst flight entire life Absolutely spoiled beginning vacation EUR wasted hotel night dont sleep top ridiculous wait time",-3.45,"1) Very negative"
" I previously review indicating luggage damaged I couldnt find review amend The airline pay damage fairly I Also I changed rating cabin staff My previous rating StockholmIstanbul flight airline",-0.05,"2) Negative"
" This worst airline I traveling international changed gate minute I running back fourth find gate changed minute boarding They dont care customers care money I running airport employees rude unprofessional dont speak English Pegasus employees find gate I asked airline told flight changed dont English By worst experience dollar ticket London I purchase I missed flight due lack minute ",-1.4,"1) Very negative"
" The worst airline world weeks ago I flying luggage lost I luggage medications life chronically ill Moreover suitcase I things work lack I incur material losses They ignore emails Ive calling week expose costs making calls abroad My suitcase hasnt arrived promised send hours missing arrive hotel days days passed suitcases They ruined entire vacation",-4.3,"1) Very negative"
" Just lovely flight Manchester Dalaman Crew service faultless Only thing night flight captain heating bit high But Pegasus",1,"5) Very positive"
" Punctual takeoff landing Perfect ground service cabin crew Seating major problem short haul Overall pleasant flight good price Surely recommended",3.15,"5) Very positive"
" We honeymoon husband I arrived counter tickets issued previously booked paid tickets months ago However arrived counter place plane book seats booked tickets They overbooked problem paid tickets They issued ticket husband explained honeymoon separately forced transit hours Istanbul Cappadocia So arrived Cappadocia PM AM The staff disrespectful offer We lost time money ",-1.25,"1) Very negative"
" The dates times departure changed times direct return tickets As result daytime flights night flights left initially cost Dont buy expensive day tickets lure cancel forced change tickets night flights They make Lost baggage lifesaving medication child epilepsy The baggage arrived airport day They refused promptly bring baggage airport I pay prompt delivery taxi In flight give free water children elderly Bottle water gr euros The senior team flight attendants answered show rules free water On return flight checked stroller yearold child transit baggage fact warned checkin stroller needed transferring The child forced sleep arms hour layover Antalya Representatives airline decide The staff low qualified No service Airplanes packed Catching hype Russian tourists current situation",-1.45,"1) Very negative"
" After reading reviews I suspicious book Pegasus Istanbul Anyhow business contacts Asian side IST airport Asian side longer flight I surprised performance Pegasus Flights dammed time The lowcostairline scheduling flights roundtrip day time I booked seats exit rows offering space I fine The processes organized SAW bag belt I arrive The bar service You buy warm meals beverages Price high side improve payment system The fact credit cards issued German Irish banks rejected Turkey Germany problem changed",0.4,"4) Positive"
" Very bad service board You feel market flight flight selling product Just test asked tap glass water refuse pay small bottle ",-1.6,"1) Very negative"
" Pegasus buggy outdated payment system We register pay pet small dog The register call pay phone Pegasus rep digits credit card transfer automatic dial system complete details phone And nightmare true The phone system return random error typing credit card Pegasus reps aware bug advise continue typing However doesnt work expensive phone calls type credit card details failed We typed carefully working cards bug system There alternative payment Another Pegasus rep advised arrive earlier pay counter praying pets flight limit There senior supervisor resolve issue A bonus line people stuck airport luggage accepted credit card cash option I helped travelers paying credit card extra luggage Each time called price pet USD During final call rep USD airport But payment system changed back Resume flight luggage pets OK Otherwise stay company",2.35,"5) Very positive"
" I bought tickets Pegasus Airlines early March Russian airlines stopped flying abroad In days Pegasus announced flight cancelled I chose refund option Pegasus email card unavailable refund I replied providing account details steps But Pegasus replied I remind times silence",0.4,"4) Positive"
" I strongly advise buying airline Initially offered voucher open date money covid In I applied tickets covid end transfer money months pretending send money They lie technical problems dont provide proof translation attempts claim I asked times",1.55,"5) Very positive"
" London Istanbul The horrible disgusting service Ive received The staff extremely unprofessional He told contact agent flight I showed proof agent FLYPGS Pegasus airlines told I put manager refused told Our flight cancelled Pegasus I disgusting horrible airline I wouldve booked The plane tight cramped feel claustrophobic entire flight The staff extremely rude phone line plane airport All care keeping money I waited week refund realise Ive refunded ticket amount Avoid costs Most disgusting airline people If I give minus stars I I informing family friends travel turkey avoid airline costs A disgrace",-3.6,"1) Very negative"
" I bag purse gate told I plane Furthermore stated disrespectful manner I pay board flight I euros attempts explain purse luggage I pay I dollars made pay USD refused exchange charging EUR claiming couldnt frequent traveler Ive kinds planes Ive robbery Charging woman purse It worth noting I luggage Barcelona occur",-1.6,"1) Very negative"
" The departure time flight time plane decided wait latecomers We waited hour departure lounge minutes plane The captain reassure make time I missed connection Many people ushered hotel hour reception Miracle hotel passable restaurant staff arrogant point refused access Pegasus travellers We made sit wait ",-1.5,"1) Very negative"
" Would recommend No service management catastrophic Goecken Airport Istanbul Very long queues supporting rude staff No Worst service ",0.15,"4) Positive"
" Checkin seamless kiosk The baggage tag printed kiosk Then head baggage drop area The flight Have pay extra pretty Ryanair Europe AirAsia South East Asia Inattentive flight attendants unhappy work It point A B Period I recommend airline price",1.25,"5) Very positive"
" Had nice flights today Needed Bucharest Stansted Was cheaper trip Istanbul direct flight I hours Istanbul So nice aircraft Modern trim Comfortable seats I seats flights Nice friendly staff smile Nice food reasonable prices All time hold minutes Stansted Dont review thought airline bad reviews improved",4,"5) Very positive"
" Avoid costs Flight cancelled No SMS email inform No reason counter staff All customers helplines telephone numbers answer speak Turkish Staff extremely unhelpful Missed flight connection London incurred additional hotel night Istanbul No hotelfood voucher They cheap reason You warned",-2.95,"1) Very negative"
" We paid seat leg space But staff check counter cancelled seat supervisor equally rude After mail airline refund response This unprofessional airline If seat cancelled staff reason isnt duty refund back Why write separate mail waiting refund",-0.3,"2) Negative"
" Worst airline I driven tears airline disappointed lots passengers I vowed The flight meant leave Dubai left Istanbul I boarding ticket TRNC wasted time close hour aware flight started checking On gate I wasnt allowed access told closed Pegasus responsibility made pay ticket destination Not talk bad customer service opportunity understanding English act badly passengers ignore They spoilt luggage",-3.75,"1) Very negative"
" I safely company absolute worst forward facing staff airport We witnessed people tears refused Istanbul airport trouble paperwork lack internet airport phones The staff refused choose deal quickly spoke colleagues selected people passengers timed check horrendous behaviour I diabolical behaviour airport staff We missed flight hrs departure man day lost tickets countless form large queue ticket desk buy tickets options choosing disgraceful company simply deserve customers",-5.2,"1) Very negative"
" I flight Manchester Erbil Gökçen airport SAW My flight delayed hours Manchester airport flight delay connecting point hours My bag transited airport I buy Turkish visa check change bag Worst airline Change Pegasus Pegabus A bus airline ",-2,"1) Very negative"
" Had delay hours Completely understandable weather conditions made happen But irony hours row made delay announcement hour So entire crew gate And oclock morning offered refreshments told flight wont happen minimum morning",0.2,"4) Positive"
"  Worst experience Pegasus Airlines book airline Its worth price paid My flight delayed hours Sebiha Airport Istanbul Kayesari Airport There absolutely information conveyed The staff approachable On return flight delay There airlines ",-0.85,"1) Very negative"
" Last time airline My airplane late hours reached Istanbul understand wait hours flight No cared hotel food gave headache waste time ruining vacation ",-1.3,"1) Very negative"
" We arrived airport hours check husband kids age We queued minutes slow check informed PCR tests printed form phones I informed holiday nights printers The lady English rude telling knew She told shop meters print tests We back minutes check closed buy tickets flight walking back And bought tickets flight hours When checkin open flight waited mins informed PCR tests QR code accept flight We paid private clinic hotel tests due lack information company happened We managed find QR codes print AGAIN Communicating English hard rude understanding This worst experience I I back",0.95,"5) Very positive"
" Takeoff landing ontime issue European low budget airlines Service good prices cheap inflight catering Seats surely comfortable accept fact pay Pegasus eventually goto airline short haul domestic Turkish flights high pricequality ratio",1.4,"5) Very positive"
" I highly recommend Pegasus Airlines As I flying back Beirut Istanbul women airlines stopped gate check weight carry approved checkin obliged pay extra She impolite unprofessional unethical She talking unacceptable unacceptable words repeatedly told wont board paying throw baggage On website airline mention extra dont answer reply No Pegasus Airlines cheapest airline ways stealing clients money Surely I Pegasus",-1.4,"1) Very negative"
" Smooth checkin punctual takeoff landing smiling crew Booked row adequate leg space Middle seat bit cramped choose window aisle seats No problem short haul flight Pretty good Highly satisfactory budget airline",3.4,"5) Very positive"
" My flight cancelled Istanbul Amman due lack information documents needed enter Amman negative PCR test payment PCR test Amman airport Medical Insurance No staff mentioned medical insurance I boarding staff told I travel I medical insurance If told I checking I time make I travel day They flight door I money back ",-1.4,"1) Very negative"
" Avoid flying Pegasus Airlines Flight delayed departure minutes due late arrival pilot announced technical troubles return Prague minutes fix It hour minutes air Service board terrible Due Covid flight attendant provide onboard food basic snacks Seat comfortable Flight diverted due clear reasons airport Crew disappeared information shared I seat row No communication speaker time passengers transfer It hours plane departed original destination Only liter bottle water provided terrible service crew weak communication I understand reasons diverting flight airport caused airline initial delay lack communication landing worse For safety piece mind fly Pegasus",-1.75,"1) Very negative"
" Ground staff comprehension skills low I approval destination country mentions exempted quarantine ground staff insisting hotel quarantine held mins They calling colleagues unsure I ended back line proper explanation Worst ground staff service ",0.25,"4) Positive"
" Preflight fine average expect budget airline Upon arriving Istanbul I found luggage wasnt Because flight days I wait days delivery luggage Customer service communication Contact couldnt email Pegasus Airlines desk airport told mistake luggage handling company airport I flying However luggage handling company told To save time I court",1.85,"5) Very positive"
" Such disastrous airline poorest communication management system I supposed fly Doha Tiblisi Istanbul morning check I carry PCR test earlier informed required I fully vaccinated There communication airlines latest requirement set surprised counter behaved rudely Their website wasnt updated customer service rep confirmed PCR required final destination Georgia vaccinated They made huge chaos life ready accept fault When I raised concern blamed calling checking requirements website outdated information called customer service representative provided false information Who compensate time money I spent chaos Such useless airlines customer support",-1.25,"1) Very negative"
" Using services Pegasus Airlines risk I make days ago Istanbul I transit I permitted board flight Manchester According UK regulations arriving country fill form pay COVID home test kit selfcontrol arrival However categories formal exception rule When boarding flight I presented documents confirming exception general rule applies However airline employees refused flight due lack mentioned COVID home test kit When situation cleared plane departed I offered compensation replacement ticket manager behaved rudely I recommend services airline",-1.2,"1) Very negative"
" Worst airline recommended responsible worst experience My luggage arrive Dusseldorf Barcelona I wait days luggage I optima ticket pay extra baggage order carry stuff end garbage irresponsibility ",-0.2,"2) Negative"
" They told I enter plane pet I confirmed airline prior flight vet papers I It website I pet passport flights EU require They admitted wrong No refund I speak employees unprofessional rude ",-0.35,"2) Negative"
" Got check open Tickets bought Turkish Residency card matching HED code For mins staff rejecting fix issue valid HES codes passenger Because system recognise board I left kids airport Immediately checked management tickets burned refund plane Later staff advised supposed link HES code flight This unacceptable Rude staff stress caused money loss",-2.05,"1) Very negative"
" Was back Istanbul Berlin denied boarding minute group passengers The reason present PCR test fly Germany Pegasus specifically The test required German officials called double checked health ministry We informed airline bought ticket We commercial emails buy additional services required test The staff terribly unprofessional unhelpful Some rude We confused hours figure They passports disappeared hour leaving confused international area airport First book flight wasting hours time arguing incompetent employees barely spoke English turned reenter country buy tickets unnecessary corona test book hotel night return Germany day Terrible experience",-6.85,"1) Very negative"
" Flight Istanbul Amsterdam Flight number WZJB PC I surgery I pay water Netherlands card Of problem dont visa I needed drink pills surgery I couldnt pay I water I thought I cup free I cabin crew drinking big bottles I felt bad flight On landing people started pick stuff young cabin crew started screaming sit It professional Terrible service I flight time met people flight Also baggage Before flight I bought extra baggage I confirmation email electronic ticket Of I paid problem bank Pegasus I paid double I buy airport",-0.5,"2) Negative"
" Worst airline I paid extra baggage back check service told charge extra wont count sum weight baggage extra paid I called customer service flight asked calculate baggage YES check wanted pay extra rule made day flight date I informed rule email message So reliable rules ",1.1,"5) Very positive"
" Bought tickets Pegasus airlines Istanbul special offer Free This meant I change travels dates paying change fee great deal due current global pandemic However I wanted change flight mobile app web app I called customer service told system restarted I make phone wait Since flight day I needed change ASAP Turkey announced introducing restrictions measures day Obviously I wasnt travel needed change ticket So I asked customer service representative I change ticket free charge phone I option fault She charge change fee I refund I wasnt fault After sending complaints multiple emails Pegasus airlines refuses refund fee Not mention money I spent customer service call THEIR SYSTEM WAS DOWN ",-0.0499999999999999,"2) Negative"
" Flight Antalya late due technical error I asked plane timing flight sitting rows decent company understanding flight delayed company We minutes flight delay There understanding flight attendants In fact I rude comments Worst client service I airline They act passengers round Planes packed distance provided disinfection board taking measures Covid",-1.85,"1) Very negative"
" Had bad experience customer service guy understand I ended giving charged seats I shouldnt charged Flight Stansted Antalya terrible No social distancing flight attendants We family gathering chair I complain Flight attendants miserable flight packed No social distancing Covid people wearing masks attendants telling people put However flight back good Flight attendants good encouraged social distancing told people wear masks cleaning",-0.45,"2) Negative"
" I bought ticket Krasnodar Istanbul arrived airport flight simply exist airline warn flight Tickets continue bought I bought tickets Istanbul Dalaman I I fly Krasnodar Wrote complaint airline moment contacted Spent trip I complete",-1.35,"1) Very negative"
" We booked ticket London Istanbul holiday July late February But COVID pandemic plans ruined We called recommended turn ticket open ticket full refund So word turned open ticket time reissue ticket pay difference payment system crashed We attempted times reissue time payment confirmationThey months give refunds Very bad customer service lost hope cancel flight lost end One worst unhelpful customer service",-3.95,"1) Very negative"
" On March I purchased ticket fly Istanbul Turkey website There indication Turkey close border website google due COVID fluid situation On I arrived desk checkin bags I informed Turkey closed borders due COVID I spoke manager told I due full refund call customer service hotline instigate This major inconvenience I hoping instant refund I ended paying fly Dublin hours I assured customer service full refund issued heard weeks They claim I show flightI cancelled fly wasnt case Online dozens complaints dissatisfied customers havent issued refunds route company taking They issued refund euro doesnt make sense They provide service I entitled absolutely reason holding money I presented airport",0.8,"5) Very positive"
" Due coronavirus flight cancelled Understandable Flight tickets reimbursed Understandable Two months refunded chased weeks responded travel ban lifted months receive refund ",1.1,"5) Very positive"
" There online checkin website English Mobile application wont download Once completed issue send boarding pass automatically steps forwarded email phone Turkish Thats incomprehensible Flight crew courteous flight Bishkek flight nice",0.75,"5) Very positive"
" Sharjah Beirut Istanbul booked March Worst airline website Trying contact Pegasus Airlines day hour waiting time response Waste money time Not recommended ",0.25,"4) Positive"
" Doha Berlin Istanbul I flown Pegasus airlines times times Bag damaged I strong bag bag damaged corner mind strongest part bag I case forever reply care shown support nice call recorded nice show effort support I told I top list pleased week replied top list I unsatisfied treatment I passed airport helped I tired flight I headed home continued email mistake My father worked hard money earned It gona waste bag lost wheels cut open resulted damage inside I hope treatment I Thank ",1.15,"5) Very positive"
" Due bad weather plane land Krasnodar airport plane rerouted Trabzon The problem stayed inside Trabzon airport hours minimum food water The situation unacceptable Pegasus Airlines leave airport gave information issue",-1.7,"1) Very negative"
" They cancelled flight return back Istanbul due airport problems leaving flight airline catch extreme jeopardy I realize airport issues control However I disappointed rep forthcoming information played words giving false hope flight delayed displayed airport departure board fact flight cancelled His job give passengers false hope Only I persisted I flight catch buy airline The flight half day Pegasus offer accommodation food passenger My kids I sleep airport chairs night day afternoon Was horrible experience I learn days Pegasus supposed provide accommodation meals late Let recommend make airline absolute resort family friendly There families kids flight They wont give kids sip water pay ridiculous price The seats recline charging ports On bright side flexible weight outbound flight refunded unused portion flight",0.8,"5) Very positive"
" Very incompetent staff My flight Antalya Amsterdam connecting Reykjavik Icelandair The check oin officer supposed check bags Antalya Amsterdam arrival time Istanbul flight Amsterdam By time I collected bags counter closed I asked talk incompetent people including manager sales office benefit I buy tickets Turkish airlines Avoid Pegasus airlines costs",0.5,"5) Very positive"
" Istanbul Stansted I wouldnt fly Pegasus Airlines BA I made book flight mins late gate closed We daughter months We online checkin All drop bags The lady desk late I asked speak Manager No point I knew pay flight I flight days pay spot Didnt accept Credit card Customer service shocking",0.9,"5) Very positive"
" Istanbul Kuwait I arrived airport hours half flight make plane I surprised arrived pegasus counters discover flights served matter flights No employee arrange crowd waiting turn Finally boarding pass find minutes left fly Even direction signs clear differentiate domestic international passport control Few minutes I found standing long row I finished stage departure stamp passports catch gate minutes schedule plane shuttle bus avail I I Pegasus office family Turkey stay upcoming flight stay hotel charge Worst travel experience family Never low cost company ",0.9,"5) Very positive"
" Dubai Istanbul Worse company At check extra luggages I booked paid werent updated system wait min big queue Despite I bill invoices We board stayed hours ground explanation staff emptied plane dont expect We lost connection train hotel booking Staff rude shouting customers unable handle situation Service customers denied reply Never ",-2.45,"1) Very negative"
" Istanbul Ras Al Khaimah Never chose company Pay dont Pegasus They cancel flight send email advise gave refund compensation Totally shameful Beside treatment airport completely disrespectful",-0.85,"1) Very negative"
" Me friend trip Antalya Stockholm October perfect I traveled dog cabin The staff excellent A special I give Bugra made trip fun unforgettable We forward fly Pegasus",5.2,"5) Very positive"
" Istanbul Ankara Very capable smiling helpful diligent cabin crew Seat pitch good seating comfy I threeseat row Although takeoff bit delayed flight landed ontime Prebought sandwich pretty good prices drinks reasonable thumbs alcohol domestic shorthaul lowcost experience Quite unexpected pleasant surprise European lowcost flights",6.65,"5) Very positive"
" Gazipasa Istanbul Let began cheap flight half hours Pegasus good option However consideration seat recline left aircraft thirsty flight On hand briefing flight masterpiece Pilot briefed passengers minutes landing weird All good experience flew I prefer fly anymore",1.85,"5) Very positive"
